Data,Feasible Num,Space Utilization,Planning Time,All time
0,42,0.48412093819444446,0.13502049446105957,98.853
1,52,0.47216055486111125,0.18010210990905762,121.2442
2,40,0.5043951416666667,0.1244363784790039,94.294
3,59,0.44388390902777775,0.23473429679870605,137.3171
4,27,0.41819686666666667,0.06445050239562988,64.9436
5,48,0.5039961041666667,0.1627058982849121,112.2239
6,30,0.3913069472222223,0.07653284072875977,71.6559
7,47,0.4775893694444446,0.181290864944458,110.0847
8,53,0.4789365875,0.20363545417785645,123.8418
9,69,0.5452152041666668,0.28430986404418945,160.2467
10,33,0.45491017916666665,0.08709049224853516,78.2665
11,47,0.5753102756944445,0.1497793197631836,110.0681
12,42,0.4952112375,0.14512872695922852,98.6589
13,37,0.44447369513888885,0.10084414482116699,87.527
14,35,0.3519872083333333,0.10037899017333984,83.0731
15,18,0.3124910916666668,0.0431978702545166,44.66
16,51,0.5558471847222223,0.17390036582946777,119.0453
17,55,0.52483821875,0.19052481651306152,128.4571
18,32,0.5756455041666667,0.07798552513122559,75.8185
19,28,0.4809829694444445,0.06963753700256348,67.0172
20,41,0.492519211111111,0.11834049224853516,96.5642
21,45,0.5404228611111112,0.14654040336608887,105.3365
22,54,0.5560762291666669,0.20524048805236816,125.898
23,46,0.41518451666666656,0.15868234634399414,107.8022
24,54,0.49504607777777776,0.20529985427856445,125.9952
25,44,0.4246714680555556,0.125471830368042,103.2334
26,28,0.4647933930555557,0.06946563720703125,67.0701
27,41,0.5601952256944445,0.13326191902160645,96.3388
28,53,0.5785501048611111,0.17574620246887207,123.77
29,35,0.5233222958333333,0.09397244453430176,82.7725
