Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,6,0.4782,0.0003,0.0010,0.1965,1.6243,24.9530
1,9,0.4892,0.0015,0.0054,0.4602,2.9078,38.4546
2,7,0.4878,0.0018,0.0116,0.3416,1.8591,29.0968
3,10,0.4353,0.0031,0.0102,0.5745,3.4303,41.4147
4,6,0.5039,0.0003,0.0007,0.2637,1.9110,25.7853
5,6,0.5473,0.0006,0.0016,0.3123,1.5704,24.4474
6,4,0.5048,0.0003,0.0007,0.1777,0.9291,17.2714
7,11,0.4575,0.0041,0.0212,0.4937,3.9498,47.1785
8,5,0.4753,0.0003,0.0007,0.2001,1.0913,20.6747
9,9,0.5138,0.0005,0.0012,0.4651,2.8326,38.2300
10,5,0.5335,0.0006,0.0012,0.3234,1.0622,20.0906
11,4,0.5313,0.0003,0.0008,0.2070,0.9313,16.8762
12,5,0.4868,0.0007,0.0011,0.2067,1.3991,21.2566
13,6,0.5266,0.0005,0.0010,0.3404,1.6577,24.2124
14,10,0.4645,0.0011,0.0042,0.5182,3.0843,40.5376
15,8,0.4727,0.0020,0.0116,0.4609,2.3970,32.7839
16,8,0.4957,0.0006,0.0014,0.2685,2.6227,34.1064
17,8,0.5000,0.0006,0.0019,0.3730,2.2903,32.8311
18,10,0.4849,0.0029,0.0078,0.5338,3.1383,44.6102
19,8,0.4938,0.0004,0.0014,0.2876,2.3685,31.0517
20,4,0.4930,0.0004,0.0011,0.1707,0.8748,17.0633
21,6,0.5226,0.0005,0.0015,0.2591,1.4617,23.6856
22,10,0.4970,0.0010,0.0031,0.4453,3.2465,40.9637
23,11,0.4515,0.0012,0.0038,0.4415,3.7462,48.4565
24,10,0.3916,0.0019,0.0039,0.5561,3.1694,42.8145
25,5,0.4963,0.0002,0.0005,0.2779,1.2577,22.1075
26,3,0.4736,0.0001,0.0002,0.1217,0.5496,14.0034
27,11,0.4339,0.0029,0.0124,0.4914,3.5408,44.6075
28,5,0.5265,0.0012,0.0036,0.2847,1.2507,20.8100
29,11,0.4000,0.0120,0.0223,0.5719,3.1689,45.3509
