Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,13,0.4886,0.4172,1.9805,0.4541,5.9395,78.2613
1,8,0.4751,0.0003,0.0010,0.3582,2.8423,33.7232
2,6,0.5136,0.0006,0.0017,0.2553,2.3688,24.7850
3,4,0.5743,0.0003,0.0004,0.3600,1.1381,17.3825
4,5,0.5348,0.1362,0.6732,0.2220,1.6778,22.2567
5,5,0.5104,0.0004,0.0007,0.2447,1.7914,23.2818
6,4,0.4926,0.0004,0.0005,0.1777,1.2858,18.5945
7,6,0.4815,0.0044,0.0239,0.3056,2.0771,27.2775
8,9,0.4608,0.0015,0.0029,0.3727,3.6947,38.9147
9,4,0.4549,0.0004,0.0008,0.1659,1.1699,17.9492
10,4,0.5441,0.0003,0.0005,0.2182,1.1213,17.5315
11,8,0.4762,0.0020,0.0058,0.3732,3.0484,33.9188
12,8,0.4833,0.0014,0.0040,0.3157,2.9866,36.1819
13,7,0.5488,0.0006,0.0013,0.3924,2.6647,29.3944
14,6,0.5137,0.0006,0.0011,0.3002,2.2290,26.4511
15,6,0.4625,0.0205,0.1167,0.3741,1.7059,26.8147
16,10,0.4708,0.0012,0.0043,0.3583,4.3066,44.5754
17,13,0.5121,0.0012,0.0047,0.5426,5.5057,58.3169
18,4,0.4764,0.4275,0.9157,0.2301,1.2248,18.3828
19,10,0.4543,0.0006,0.0017,0.4443,3.4445,42.1356
20,6,0.5207,0.0003,0.0010,0.3023,1.9114,24.3447
21,10,0.5027,0.0011,0.0021,0.4685,4.0107,43.0280
22,6,0.4586,0.0005,0.0016,0.2795,2.2885,25.2068
23,8,0.5064,0.0009,0.0014,0.3191,3.1246,34.0101
24,5,0.4793,0.0007,0.0021,0.2735,1.7896,21.3582
25,6,0.5018,0.0007,0.0017,0.3262,2.0490,24.4664
26,5,0.4641,0.0005,0.0008,0.2363,1.5401,20.5655
27,10,0.4331,0.0037,0.0075,0.4155,4.3343,59.2521
28,5,0.4652,0.0005,0.0007,0.2847,1.5416,20.4856
29,4,0.5224,0.0002,0.0003,0.2281,1.1758,17.4964
