Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,27,0.3007,0.0278,0.0930,0.2168,0.2051,98.5583
1,13,0.3321,0.0346,0.0724,0.0837,0.0651,40.3763
2,10,0.3535,0.0018,0.0052,0.0563,0.0443,29.0925
3,5,0.3530,0.0014,0.0031,0.0468,0.0223,14.7807
4,6,0.3222,0.0006,0.0015,0.0410,0.0210,17.0809
5,18,0.3434,0.0353,0.0885,0.1301,0.1152,58.7574
6,14,0.3503,0.0246,0.0684,0.1008,0.1304,43.7922
7,4,0.3343,0.0002,0.0006,0.0321,0.0115,11.8530
8,9,0.3421,0.0018,0.0058,0.0652,0.0349,25.6582
9,15,0.2820,0.0352,0.1116,0.1146,0.0972,48.1545
10,24,0.2498,0.0331,0.0726,0.1768,0.2113,85.7677
11,16,0.3331,0.0438,0.0867,0.1460,0.0865,51.7259
12,5,0.3086,0.0032,0.0117,0.0320,0.0184,14.4905
13,10,0.3339,0.0061,0.0146,0.0548,0.0459,29.4639
14,16,0.3177,0.0119,0.0291,0.1046,0.0792,49.9774
15,5,0.3529,0.0002,0.0010,0.0250,0.0188,14.7072
16,3,0.3547,0.0001,0.0002,0.0181,0.0115,9.4333
17,16,0.2678,0.0272,0.0815,0.0993,0.1107,50.3505
18,17,0.3231,0.0255,0.0891,0.1151,0.1168,54.3241
19,8,0.3409,0.0018,0.0054,0.0587,0.0380,22.7542
20,12,0.3350,0.0180,0.0556,0.0873,0.0613,34.9891
21,12,0.3256,0.0146,0.0383,0.1169,0.0530,35.1157
22,4,0.3375,0.0002,0.0003,0.0233,0.0160,11.9455
23,14,0.3494,0.0237,0.0906,0.1202,0.0809,42.5089
24,18,0.3437,0.0105,0.0300,0.1305,0.1088,57.0591
25,8,0.2731,0.0092,0.0186,0.0696,0.0326,23.4747
26,10,0.3157,0.0459,0.1033,0.0874,0.0538,29.6112
27,6,0.3787,0.0003,0.0007,0.0446,0.0276,17.0303
28,24,0.3015,0.0260,0.0837,0.1742,0.1468,82.9742
29,8,0.2917,0.0209,0.0799,0.0646,0.0368,22.9825
