Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,11,0.2305,0.0501,0.0812,0.0926,2.2517,36.1425
1,15,0.2584,0.0530,0.1069,0.1053,3.5591,51.6079
2,20,0.3008,0.0274,0.1225,0.1445,4.9187,71.1530
3,15,0.3488,0.0470,0.1170,0.1258,3.3632,50.7976
4,14,0.3304,0.0286,0.0937,0.0947,3.4074,47.2491
5,17,0.3205,0.0515,0.1084,0.1260,4.3226,59.2683
6,14,0.2983,0.0243,0.0707,0.1008,3.5190,48.3267
7,12,0.3011,0.0191,0.0985,0.1003,2.4251,39.2067
8,6,0.3381,0.0177,0.0796,0.0455,1.3521,19.7126
9,17,0.2383,0.0503,0.1233,0.1272,4.3335,59.6954
10,24,0.2807,0.0479,0.1106,0.1768,6.6672,93.7900
11,19,0.2871,0.2045,0.6198,0.1615,4.3261,67.0050
12,17,0.2616,0.0308,0.0676,0.1325,4.2632,58.9431
13,20,0.2727,0.0486,0.1001,0.1395,4.9433,73.2686
14,18,0.3383,0.0381,0.0909,0.1225,4.5121,63.9702
15,20,0.2613,0.0447,0.0890,0.1582,4.9395,72.7663
16,23,0.3091,0.0381,0.0884,0.1608,6.0369,85.5262
17,15,0.3120,0.0250,0.0728,0.0927,3.9720,51.4047
18,22,0.2808,0.0286,0.0783,0.1453,6.6783,84.5141
19,9,0.2753,0.0156,0.0303,0.0776,1.8837,29.1618
20,17,0.2825,0.0375,0.1064,0.1398,3.5935,59.0383
21,12,0.3373,0.0486,0.1129,0.1169,2.4897,38.6413
22,16,0.3482,0.0347,0.0852,0.1241,3.6456,54.9829
23,10,0.3797,0.0132,0.0320,0.0875,2.1322,32.1492
24,17,0.2283,0.0305,0.0827,0.1253,4.3434,60.9200
25,20,0.2539,0.0323,0.1017,0.1764,4.5875,72.9984
26,20,0.2263,0.0409,0.0817,0.1467,5.6402,74.8310
27,27,0.2168,0.0490,0.1104,0.1829,7.5919,106.5230
28,20,0.2090,0.0409,0.1049,0.1415,5.6984,72.3915
29,26,0.2421,0.0465,0.0974,0.1725,7.9621,106.8505
