Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,16,0.2861,0.0305,0.1075,0.1378,0.8047,99.1709
1,23,0.2742,0.0423,0.1131,0.1966,1.3112,133.4931
2,21,0.2312,0.0388,0.1140,0.1707,1.1525,135.2826
3,19,0.2670,0.0390,0.1195,0.1759,1.0998,104.0373
4,22,0.2283,0.0547,0.1058,0.1778,1.1646,128.3168
5,15,0.3066,0.0423,0.0947,0.1235,0.8427,73.6253
6,18,0.2614,0.0767,0.2240,0.1611,0.9726,100.1230
7,24,0.2070,0.0466,0.1050,0.2108,1.2891,134.4380
8,25,0.2727,0.0539,0.1696,0.2279,1.3671,150.0925
9,34,0.2412,0.0633,0.1920,0.2824,1.7680,288.0037
10,23,0.2426,0.0671,0.1801,0.1879,1.2887,144.2848
11,17,0.2542,0.0359,0.0900,0.1297,1.3113,109.7403
12,17,0.2999,0.0485,0.1362,0.1490,1.4108,102.0773
13,20,0.2765,0.0525,0.1247,0.1384,1.9014,135.6797
14,19,0.2268,0.0493,0.1070,0.1953,1.3886,113.8943
15,20,0.2919,0.0340,0.1078,0.1608,2.3006,131.9736
16,11,0.2288,0.0184,0.0598,0.0961,0.6972,58.0209
17,21,0.2301,0.0521,0.1139,0.2007,1.3793,133.9542
18,26,0.2016,0.0473,0.0968,0.2226,2.1749,178.6155
19,24,0.2361,0.0431,0.1106,0.2151,2.0835,158.9526
20,13,0.2831,0.0490,0.0938,0.1228,0.8759,76.2607
21,23,0.1751,0.0688,0.1453,0.1728,2.0156,159.0417
22,14,0.2790,0.0163,0.0306,0.1446,0.7552,73.2795
23,27,0.2189,0.0619,0.1379,0.2327,1.5505,185.5030
24,15,0.2749,0.0475,0.1371,0.1205,0.8810,112.4352
25,23,0.2978,0.0338,0.1084,0.1653,1.6078,157.7096
26,20,0.3010,0.0425,0.1160,0.1663,1.1977,147.2559
27,23,0.2679,0.0348,0.1111,0.1867,1.6924,134.6899
28,14,0.2305,0.0290,0.0896,0.1325,0.8461,73.4052
29,18,0.2506,0.0347,0.1122,0.1376,1.0656,106.8701
