Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,13,0.2446,0.0273,0.0822,0.0993,2.2657,63.9249
1,17,0.3143,0.0284,0.0663,0.1206,3.3940,87.6924
2,18,0.2626,0.0382,0.1030,0.1264,3.1906,108.2342
3,13,0.2624,0.0428,0.0802,0.1093,1.9463,75.1074
4,25,0.1944,0.0431,0.1238,0.2047,4.2752,144.5339
5,19,0.2602,0.0188,0.0468,0.1363,3.6456,99.1881
6,17,0.3233,0.0184,0.0592,0.1181,3.1980,104.2234
7,15,0.2696,0.0255,0.0686,0.1209,2.3485,88.3233
8,11,0.3019,0.0056,0.0172,0.0771,1.9050,60.1978
9,9,0.3553,0.0008,0.0034,0.0787,1.3900,47.6077
10,18,0.2667,0.0510,0.0892,0.1417,2.8241,105.8291
11,12,0.2997,0.0274,0.0689,0.1098,1.6221,72.4242
12,22,0.2148,0.0370,0.1027,0.1861,3.7927,126.4275
13,19,0.2504,0.0215,0.0556,0.1293,3.2142,183.6388
14,1,0.2701,0.0000,0.0000,0.0006,0.0660,5.9784
15,21,0.1772,0.0442,0.2163,0.1597,3.8928,119.0324
16,7,0.3047,0.0014,0.0057,0.0419,1.0444,25.1706
17,11,0.2769,0.0015,0.0063,0.0624,2.1452,54.6588
18,7,0.3000,0.0033,0.0116,0.0540,1.2391,41.1284
19,16,0.2385,0.0221,0.0753,0.1420,2.5235,92.2544
20,13,0.2786,0.0343,0.0918,0.0968,1.8064,78.8577
21,10,0.3472,0.0407,0.1208,0.0970,1.1541,43.6104
22,2,0.3231,0.0002,0.0003,0.0122,0.1548,9.0112
23,15,0.2470,0.0272,0.0928,0.1245,2.7153,83.6692
24,10,0.2873,0.0026,0.0072,0.0723,1.7771,52.1873
25,15,0.2222,0.0685,0.1297,0.1420,1.9716,83.3917
26,1,0.2774,0.0000,0.0000,0.0115,0.0230,5.3338
27,17,0.3033,0.0434,0.1060,0.1156,2.8268,90.4153
28,22,0.2461,0.0368,0.1154,0.1646,4.6583,147.5988
29,18,0.3004,0.0280,0.0717,0.1312,3.6158,100.1342
