Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,8,0.2861,0.0411,0.0938,0.0741,0.7664,34.2972
1,8,0.2753,0.0448,0.0774,0.0484,0.7944,33.5507
2,13,0.2576,0.0602,0.1288,0.0803,0.8823,59.9718
3,8,0.3609,0.0541,0.0983,0.0699,0.7800,34.1425
4,8,0.2615,0.0339,0.0872,0.0604,0.7660,35.5554
5,10,0.2414,0.0326,0.0713,0.0791,0.8222,40.9328
6,12,0.2981,0.0418,0.0965,0.0905,0.8557,56.6269
7,12,0.2816,0.0325,0.1120,0.1003,0.8661,49.6384
8,8,0.2757,0.0340,0.0765,0.0610,0.7705,34.4587
9,12,0.2735,0.0446,0.0997,0.0936,0.8580,52.0621
10,8,0.3533,0.0380,0.0661,0.0550,0.7757,33.7527
11,11,0.3058,0.0523,0.1127,0.1036,0.8171,45.9615
12,8,0.2736,0.0473,0.0857,0.0624,0.7768,34.8555
13,9,0.3020,0.0713,0.1410,0.0469,0.7983,37.1776
14,14,0.2323,0.0366,0.1178,0.0946,0.8968,61.7039
15,2,0.2820,0.0009,0.0016,0.0099,0.6388,10.9997
16,13,0.2195,0.0240,0.0568,0.0866,0.8707,54.8364
17,9,0.2171,0.0472,0.1241,0.0577,0.8060,37.4574
18,12,0.3411,0.0278,0.0865,0.0910,0.8498,50.8896
19,9,0.1842,0.0203,0.0350,0.0776,0.7992,43.4622
20,15,0.2547,0.0435,0.1181,0.1121,0.9000,69.0312
21,13,0.3464,0.0487,0.0980,0.1319,0.8804,57.8968
22,10,0.3557,0.0542,0.1488,0.0656,0.8259,47.8124
23,10,0.3133,0.0325,0.0797,0.0875,0.7953,41.8369
24,13,0.2474,0.0244,0.0773,0.0981,0.8941,57.2761
25,11,0.2853,0.0402,0.0925,0.0966,0.8264,64.8572
26,7,0.3334,0.0401,0.0929,0.0619,0.7556,31.3532
27,13,0.1796,0.0362,0.0831,0.0900,0.8504,58.9428
28,10,0.3215,0.0397,0.0956,0.0787,0.8301,42.7509
29,13,0.2880,0.0291,0.0736,0.0988,0.8794,55.8132
