Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,13,0.3165,0.0069,0.0259,0.0993,0.0715,106.7440
1,12,0.3490,0.0484,0.1139,0.0788,0.0570,62.1349
2,10,0.3356,0.0017,0.0043,0.0563,0.0437,69.6854
3,1,0.3104,0.0000,0.0000,0.0137,0.0028,5.6557
4,6,0.3285,0.0031,0.0064,0.0410,0.0409,26.2873
5,18,0.3736,0.0302,0.0917,0.1301,0.1197,86.6619
6,14,0.3412,0.0300,0.0804,0.1008,0.0843,77.8308
7,4,0.3443,0.0001,0.0003,0.0321,0.0120,13.6706
8,9,0.3309,0.0017,0.0037,0.0652,0.0440,38.3746
9,3,0.2980,0.0017,0.0050,0.0285,0.0096,19.5240
10,5,0.3614,0.0024,0.0089,0.0330,0.0179,22.1993
11,13,0.3091,0.0203,0.0663,0.1291,0.0666,60.7693
12,5,0.2972,0.0036,0.0053,0.0320,0.0184,24.0215
13,10,0.2855,0.0347,0.0851,0.0548,0.0497,48.6138
14,2,0.2666,0.0002,0.0003,0.0040,0.0066,8.3687
15,5,0.3080,0.0105,0.0479,0.0250,0.0196,20.9533
16,3,0.3510,0.0009,0.0023,0.0181,0.0090,10.8882
17,17,0.2553,0.0409,0.1442,0.1090,0.0995,85.2519
18,18,0.3004,0.0274,0.0707,0.1184,0.1275,95.5145
19,8,0.3024,0.0063,0.0388,0.0587,0.0400,35.6188
20,11,0.3316,0.0358,0.1034,0.0812,0.0702,61.8855
21,12,0.3496,0.0225,0.0603,0.1169,0.0479,54.5390
22,4,0.3335,0.0005,0.0010,0.0233,0.0170,18.1339
23,13,0.3386,0.0261,0.0854,0.1140,0.0656,71.4442
24,18,0.3289,0.0266,0.0668,0.1305,0.1068,91.8856
25,8,0.2750,0.0038,0.0097,0.0696,0.0328,28.6366
26,1,0.3095,0.0000,0.0000,0.0115,0.0055,5.7322
27,6,0.3471,0.0013,0.0025,0.0446,0.0319,25.6347
28,5,0.3304,0.0014,0.0030,0.0336,0.0210,25.4878
29,3,0.3194,0.0003,0.0005,0.0275,0.0097,11.5380
