Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,14,0.2878,0.0440,0.1357,0.1200,2.1646,107.9992
1,19,0.2927,0.0392,0.1590,0.1552,2.9855,163.4591
2,15,0.2618,0.0506,0.1712,0.1195,2.4627,126.1325
3,16,0.2835,0.2880,0.9291,0.1521,2.3849,145.8473
4,16,0.2521,0.0533,0.1281,0.1248,2.5683,164.8128
5,11,0.3215,0.0311,0.0874,0.0947,1.8850,138.8241
6,13,0.3721,0.0392,0.1261,0.1193,2.4248,140.7162
7,18,0.3091,0.1021,0.3933,0.1515,2.8557,151.8850
8,14,0.2747,0.0352,0.1200,0.1256,2.3287,113.4152
9,17,0.2914,0.0337,0.1228,0.1330,2.5689,156.5478
10,16,0.2679,0.0439,0.1114,0.1327,2.4193,201.3326
11,14,0.2818,0.0340,0.1104,0.1051,2.5287,121.3832
12,15,0.3243,0.0377,0.1242,0.1343,2.4078,118.3394
13,17,0.3069,0.0385,0.0988,0.1111,2.7088,135.6805
14,13,0.2077,0.0407,0.1279,0.1258,1.7273,97.3519
15,21,0.3116,0.0488,0.1010,0.1675,2.4874,204.0925
16,11,0.2571,0.0687,0.1354,0.0961,1.6000,81.4907
17,18,0.2618,0.0368,0.1140,0.1710,1.8956,139.2841
18,15,0.2926,0.0389,0.1174,0.1326,1.8361,122.0056
19,14,0.3252,0.0386,0.1377,0.1268,1.7858,103.3142
20,10,0.3558,0.0444,0.0925,0.0981,1.5686,71.1977
21,12,0.3950,0.0415,0.1515,0.0937,1.5390,112.0024
22,14,0.3266,0.0476,0.1076,0.1446,1.7681,100.7109
23,16,0.2024,0.0345,0.1331,0.1404,2.0427,117.4315
24,10,0.3242,0.0890,0.3112,0.0858,1.6411,75.6929
25,21,0.3169,0.0361,0.1266,0.1497,2.2345,159.5045
26,15,0.3398,0.0293,0.1100,0.1160,2.2656,108.6582
27,26,0.2780,0.0584,0.1347,0.2074,2.5843,212.3060
28,10,0.3291,0.0596,0.1455,0.0953,1.4130,70.1390
29,18,0.2960,0.0999,0.8118,0.1376,2.0288,132.6042
