Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,12,0.222,2.159,0.013,0.043,1.000,2.000,0.870,0.038,113.320
1,9,0.380,2.211,0.010,0.066,1.000,1.000,0.890,0.025,79.248
2,6,0.428,3.017,0.000,0.001,1.000,0.000,0.971,0.015,41.693
3,11,0.453,2.409,0.001,0.001,1.000,0.000,0.998,0.017,66.467
4,4,0.474,2.982,0.001,0.001,1.000,0.000,0.961,0.006,41.831
5,8,0.382,2.466,0.002,0.007,1.000,0.000,0.871,0.023,58.003
6,13,0.388,2.468,0.006,0.061,1.000,1.000,0.934,0.034,95.999
7,3,0.531,2.492,0.113,0.338,1.000,0.000,0.946,0.004,30.157
8,12,0.354,2.459,0.008,0.041,1.000,0.000,0.915,0.049,88.692
9,10,0.370,2.673,0.004,0.020,1.000,0.000,0.897,0.032,73.671
10,11,0.349,2.455,0.013,0.083,1.000,1.000,0.871,0.025,95.035
11,8,0.397,2.673,0.009,0.067,1.000,0.000,0.939,0.022,57.866
12,10,0.374,2.337,0.026,0.233,2.000,0.000,0.926,0.020,70.358
13,6,0.528,2.579,0.002,0.013,1.000,0.000,0.940,0.010,41.937
14,9,0.536,2.231,0.000,0.001,1.000,1.000,0.966,0.014,72.986
15,7,0.450,2.328,0.000,0.000,1.000,0.000,0.981,0.014,46.172
16,4,0.367,2.441,0.010,0.041,1.000,0.000,0.935,0.007,33.946
17,13,0.413,2.702,0.003,0.022,1.000,1.000,0.868,0.047,112.068
18,6,0.425,2.422,0.053,0.295,2.000,0.000,0.918,0.012,40.406
19,6,0.409,2.986,0.001,0.003,1.000,0.000,0.949,0.013,45.356
20,11,0.313,2.889,0.005,0.037,1.000,1.000,0.926,0.037,83.706
21,5,0.392,2.768,0.001,0.002,1.000,0.000,0.966,0.009,43.619
22,4,0.402,2.580,0.001,0.004,1.000,0.000,0.953,0.007,36.150
23,6,0.461,3.477,0.000,0.001,1.000,0.000,0.964,0.014,50.971
24,4,0.448,2.585,0.000,0.001,1.000,0.000,0.955,0.009,33.157
25,24,0.440,2.207,0.014,0.071,1.000,0.000,0.965,0.038,219.473
26,4,0.437,3.150,0.001,0.003,1.000,0.000,0.953,0.007,39.407
27,11,0.380,2.301,0.005,0.014,1.000,2.000,0.893,0.029,112.071
28,15,0.288,2.838,0.013,0.070,1.000,1.000,0.876,0.044,137.356
29,14,0.371,2.498,0.002,0.007,1.000,0.000,0.990,0.022,105.952
