Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,2,0.403,1.826,0.000,0.000,1.000,0.000,0.992,0.942,16.741
1,5,0.334,1.897,0.014,0.038,1.000,0.000,0.934,3.590,31.244
2,8,0.401,2.409,0.004,0.015,1.000,0.000,0.897,4.236,52.221
3,7,0.496,1.971,0.002,0.006,1.000,0.000,0.943,5.933,39.525
4,3,0.479,1.873,0.001,0.001,1.000,0.000,0.963,1.862,20.221
5,2,0.368,2.403,0.000,0.000,1.000,0.000,0.976,1.499,16.687
6,5,0.446,2.284,0.002,0.005,1.000,0.000,0.881,2.886,34.166
7,5,0.490,2.115,0.001,0.002,1.000,0.000,0.954,2.743,29.252
8,5,0.512,2.598,0.001,0.001,1.000,0.000,0.929,4.595,32.321
9,3,0.465,1.857,0.001,0.001,1.000,0.000,0.941,1.495,23.872
10,4,0.514,1.872,0.000,0.001,1.000,0.000,0.969,1.871,23.825
11,1,0.402,2.266,0.000,0.000,1.000,0.000,0.973,0.317,11.749
12,5,0.434,2.049,0.006,0.024,1.000,0.000,0.943,4.640,33.231
13,4,0.472,1.719,0.113,0.449,2.000,0.000,0.872,1.730,23.553
14,2,0.447,2.574,0.108,0.216,2.000,0.000,0.881,0.870,17.044
15,1,0.459,1.722,0.000,0.000,1.000,0.000,0.949,0.376,11.849
16,3,0.335,2.499,0.011,0.032,1.000,0.000,0.879,1.813,28.986
17,3,0.268,2.352,0.015,0.043,1.000,0.000,0.759,1.861,24.037
18,4,0.254,2.168,0.031,0.076,1.000,0.000,0.810,1.777,24.021
19,2,0.547,4.800,0.000,0.000,1.000,0.000,0.953,1.177,18.227
20,3,0.449,3.305,0.001,0.003,1.000,0.000,0.945,1.690,23.143
21,2,0.408,1.762,0.670,1.102,3.000,0.000,0.904,0.813,27.729
22,3,0.415,2.792,0.001,0.001,1.000,0.000,0.950,1.494,24.637
23,4,0.456,1.865,0.001,0.003,1.000,0.000,0.965,1.426,31.215
24,6,0.429,2.553,0.006,0.028,1.000,0.000,0.863,3.482,40.669
25,1,0.529,2.126,0.000,0.000,1.000,0.000,0.981,0.309,12.661
26,5,0.512,2.331,0.001,0.003,1.000,0.000,0.898,2.537,28.692
27,3,0.444,1.719,0.002,0.006,1.000,0.000,0.958,1.157,20.016
28,3,0.468,1.897,0.001,0.001,1.000,0.000,0.950,1.170,18.802
29,6,0.504,2.024,0.005,0.017,1.000,0.000,0.935,2.689,46.957
