Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,6,0.429,2.289,0.361,1.001,3.000,0.000,0.972,2.832,51.409
1,3,0.468,3.242,0.512,0.797,3.000,0.000,0.963,2.674,41.092
2,31,0.377,1.909,0.023,0.081,1.000,12.000,0.973,43.648,510.091
3,6,0.302,2.396,0.507,1.442,4.000,1.000,1.000,5.934,64.510
4,2,0.492,2.441,0.233,0.463,1.000,0.000,0.965,1.921,23.650
5,55,0.380,1.636,0.022,0.095,1.000,21.000,0.964,112.357,1153.243
6,8,0.408,2.308,0.119,0.793,1.000,0.000,0.951,8.634,80.210
7,3,0.306,2.368,0.233,0.406,2.000,1.000,0.946,2.272,42.552
8,31,0.333,1.705,0.037,0.087,2.000,18.000,0.962,53.181,644.631
9,3,0.487,2.357,0.128,0.237,2.000,0.000,0.941,3.043,41.772
10,3,0.263,2.455,0.032,0.034,1.000,1.000,0.970,3.073,46.231
11,31,0.327,1.763,0.049,0.578,1.000,11.000,0.967,56.791,587.253
12,4,0.435,2.468,0.716,1.333,4.000,0.000,0.970,3.847,54.156
13,3,0.483,2.452,0.595,0.949,3.000,0.000,0.936,2.426,41.393
14,6,0.351,2.214,0.355,0.906,5.000,2.000,0.966,5.591,95.949
15,3,0.433,2.649,0.413,1.224,2.000,0.000,0.974,2.619,46.368
16,18,0.237,1.897,0.027,0.095,1.000,8.000,0.988,23.660,301.727
17,42,0.385,2.263,0.018,0.076,1.000,13.000,0.962,76.859,775.497
18,4,0.437,2.413,0.209,0.329,3.000,0.000,0.946,4.094,51.211
19,39,0.398,1.722,0.057,1.706,1.000,15.000,0.956,74.798,728.137
20,10,0.420,2.282,0.163,0.770,3.000,1.000,0.974,11.422,88.198
21,3,0.432,2.404,0.298,0.601,2.000,0.000,0.965,2.720,32.112
22,17,0.392,2.181,0.022,0.223,1.000,2.000,0.962,22.287,175.147
23,8,0.421,2.635,0.099,0.487,3.000,1.000,0.962,7.954,105.016
24,3,0.424,2.491,0.478,0.698,3.000,0.000,0.955,3.172,43.427
25,3,0.477,2.359,0.527,0.835,3.000,0.000,0.980,2.170,41.292
26,6,0.255,2.326,0.718,1.605,6.000,1.000,0.957,5.696,72.696
27,9,0.399,2.396,0.111,0.727,2.000,3.000,0.955,9.837,116.288
28,4,0.310,2.420,0.416,0.871,3.000,1.000,0.950,4.081,65.999
29,3,0.524,2.411,1.091,1.631,3.000,0.000,0.992,2.698,42.114
