Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,3,0.439,2.620,0.049,0.088,3.000,0.000,0.988,1.282,46.713
1,9,0.422,1.990,0.003,0.014,0.000,1.000,0.984,3.018,82.618
2,4,0.497,2.333,0.012,0.043,1.000,0.000,0.989,0.653,52.667
3,2,0.403,2.925,0.000,0.000,1.000,0.000,0.983,1.545,30.861
4,7,0.384,2.305,0.009,0.036,0.000,1.000,0.982,2.850,65.660
5,11,0.416,2.227,0.004,0.023,0.000,1.000,0.976,3.881,104.618
6,2,0.608,2.315,0.022,0.040,1.000,0.000,0.986,1.161,39.891
7,1,0.407,2.271,0.401,0.401,2.000,0.000,0.975,1.063,22.677
8,1,0.456,2.170,0.277,0.277,2.000,0.000,0.973,1.417,32.550
9,4,0.468,3.135,0.026,0.079,2.000,0.000,0.981,1.913,48.692
10,6,0.446,1.980,0.028,0.061,0.000,2.000,0.976,2.182,62.686
11,6,0.466,2.317,0.002,0.009,0.000,2.000,0.978,2.402,76.821
12,7,0.384,1.933,0.001,0.003,0.000,2.000,0.982,2.649,75.784
13,2,0.437,2.426,0.052,0.085,1.000,0.000,0.951,1.183,34.976
14,4,0.527,2.216,0.017,0.059,1.000,1.000,0.938,1.816,68.400
15,8,0.317,2.439,0.004,0.016,0.000,2.000,0.967,3.427,94.398
16,5,0.528,2.201,0.000,0.000,0.000,1.000,0.991,2.136,54.957
17,4,0.356,3.315,0.022,0.047,1.000,1.000,0.943,2.019,56.728
18,1,0.654,6.078,0.072,0.072,1.000,0.000,0.980,1.236,30.576
19,9,0.471,2.074,0.009,0.035,0.000,1.000,0.983,4.139,80.750
20,6,0.498,2.117,0.004,0.021,0.000,2.000,0.984,1.827,73.984
21,6,0.469,2.034,0.017,0.034,0.000,2.000,0.979,2.014,69.353
22,2,0.435,5.299,0.000,0.000,1.000,0.000,0.989,1.166,25.423
23,2,0.509,2.265,0.066,0.068,2.000,0.000,0.987,1.501,36.739
24,6,0.447,2.027,0.008,0.019,0.000,1.000,0.975,1.636,55.042
25,4,0.385,2.850,0.012,0.021,1.000,2.000,0.986,1.226,58.346
26,3,0.545,2.063,0.093,0.112,4.000,1.000,0.994,1.247,56.433
27,3,0.546,2.149,0.037,0.073,1.000,0.000,0.985,1.059,39.407
28,3,0.463,4.353,0.028,0.084,2.000,0.000,0.983,1.162,54.829
29,1,0.471,2.294,0.148,0.148,2.000,0.000,0.984,1.040,28.752
