Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,51,0.3840,0.0247,0.1107,0.5501,10.8034,314.4862
1,45,0.3832,0.0262,0.1061,0.6219,8.6335,256.8092
2,33,0.3981,0.0095,0.0272,0.4900,6.4913,162.9607
3,26,0.4933,0.0062,0.0476,0.4471,5.1338,123.4471
4,20,0.4874,0.0001,0.0009,0.1889,4.3525,73.5371
5,27,0.4801,0.0006,0.0020,0.3089,5.5819,113.7810
6,16,0.5073,0.0001,0.0009,0.1654,3.3199,58.1150
7,19,0.4625,0.0012,0.0120,0.2629,3.7336,75.3402
8,44,0.3810,0.0229,0.0947,0.4798,8.9476,235.1381
9,30,0.4694,0.0015,0.0122,0.2625,6.6321,125.4672
10,12,0.4575,0.0092,0.0680,0.2724,2.2262,46.8794
11,28,0.4350,0.0097,0.0533,0.4402,5.6435,132.4487
12,29,0.4141,0.0038,0.0263,0.2973,5.9603,132.8128
13,50,0.4114,0.0145,0.0466,0.4266,11.1600,293.9774
14,57,0.4312,0.0446,0.5187,0.6914,11.2995,396.8537
15,29,0.4055,0.0107,0.0573,0.5751,7.2745,148.7928
16,29,0.3992,0.0114,0.0694,0.3860,7.1915,154.0875
17,33,0.4567,0.0033,0.0252,0.3686,9.9400,178.8223
18,40,0.4085,0.0168,0.0841,0.4494,13.6264,243.4402
19,21,0.4228,0.0062,0.0649,0.3186,6.3341,96.3008
20,28,0.4439,0.0077,0.0853,0.3121,9.1904,139.1900
21,31,0.4531,0.0009,0.0038,0.2617,9.0889,145.5226
22,32,0.3985,0.0091,0.1188,0.3389,10.0459,165.9789
23,30,0.4425,0.0063,0.0576,0.3199,9.4923,155.1085
24,15,0.5252,0.0020,0.0260,0.2638,4.5764,63.3147
25,16,0.5631,0.0029,0.0137,0.5211,4.0911,69.5609
26,44,0.3326,0.0278,0.1622,0.5491,13.4613,267.9625
27,59,0.3998,0.0190,0.1088,0.5490,18.5603,408.2249
28,25,0.4973,0.0046,0.0431,0.3730,8.9417,125.0148
29,28,0.4909,0.0038,0.0289,0.3946,8.1714,150.4534
