Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,31,0.4727,0.0031,0.0187,0.3398,6.3828,221.2142
1,30,0.4606,0.0050,0.0739,0.4427,5.2285,208.5427
2,26,0.4632,0.0037,0.0169,0.3742,4.8081,175.3427
3,24,0.5446,0.0012,0.0062,0.3947,3.1055,159.3709
4,19,0.4964,0.0003,0.0044,0.1759,3.0152,109.6830
5,41,0.4592,0.0060,0.0276,0.4530,6.2894,294.9072
6,16,0.5165,0.0001,0.0011,0.1654,2.4232,94.9859
7,38,0.4683,0.0082,0.0235,0.4564,5.8118,274.9434
8,44,0.4781,0.0076,0.0248,0.4798,5.1682,325.1170
9,32,0.5047,0.0010,0.0051,0.2813,5.0351,204.1315
10,14,0.4676,0.0103,0.0678,0.3352,2.0101,85.6604
11,25,0.4826,0.0033,0.0410,0.4038,3.0834,159.1577
12,60,0.4337,0.0280,0.1201,0.5249,7.8502,539.7093
13,58,0.4681,0.0082,0.0418,0.4870,8.9159,508.6032
14,47,0.4579,0.0166,0.0665,0.5840,5.8222,412.9557
15,22,0.4930,0.0019,0.0114,0.3994,2.6877,137.6404
16,33,0.4083,0.0104,0.0930,0.4429,4.4993,229.7132
17,44,0.4498,0.0064,0.0307,0.4639,6.1038,327.3185
18,41,0.4348,0.0133,0.0792,0.4622,5.3121,316.6785
19,20,0.5050,0.0024,0.0207,0.2949,2.9140,119.5293
20,51,0.4168,0.0136,0.0467,0.5377,7.3824,410.5194
21,71,0.4552,0.0112,0.0546,0.5413,11.3024,651.6351
22,20,0.4535,0.0005,0.0039,0.2238,2.9983,122.5531
23,28,0.4795,0.0013,0.0040,0.3022,3.7601,173.2022
24,22,0.4894,0.0023,0.0127,0.4063,3.0469,138.5924
25,12,0.5633,0.0006,0.0018,0.4038,1.6981,69.9715
26,27,0.5073,0.0021,0.0116,0.3136,3.3765,165.7124
27,42,0.4776,0.0023,0.0076,0.3719,6.8007,305.6510
28,26,0.5072,0.0028,0.0251,0.3860,3.6208,170.1568
29,32,0.4984,0.0040,0.0135,0.4585,4.0071,230.0044
