Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,39,0.3899,0.0099,0.0404,0.4348,1.9036,177.5405
1,44,0.4354,0.0059,0.0255,0.3821,2.6757,198.0289
2,40,0.4600,0.0079,0.0390,0.5044,2.0051,177.6885
3,32,0.4022,0.0010,0.0099,0.1892,1.5906,124.7378
4,28,0.4130,0.0109,0.0827,0.4472,1.3963,109.2984
5,37,0.4796,0.0040,0.0309,0.3735,1.8778,152.8898
6,28,0.4591,0.0011,0.0081,0.3299,1.4276,99.7077
7,40,0.3811,0.0128,0.0451,0.4224,2.2135,183.9653
8,31,0.4467,0.0027,0.0250,0.2834,1.5891,120.8871
9,40,0.4456,0.0032,0.0240,0.3252,2.0430,182.0191
10,25,0.4901,0.0034,0.0370,0.3668,1.2743,94.1724
11,42,0.4601,0.0116,0.0384,0.5058,1.9732,194.0954
12,47,0.4034,0.0108,0.0362,0.5647,2.4056,217.2948
13,21,0.4899,0.0009,0.0051,0.2297,1.2173,68.3979
14,34,0.4064,0.0051,0.0349,0.3213,1.7531,138.3825
15,21,0.4597,0.0017,0.0086,0.3582,1.1691,73.8011
16,47,0.4229,0.0156,0.0517,0.5245,2.6186,234.3495
17,49,0.4457,0.0067,0.0504,0.4637,2.7953,232.1449
18,38,0.3956,0.0133,0.0507,0.6488,1.9019,163.3941
19,20,0.4524,0.0010,0.0103,0.2939,1.1066,67.2594
20,42,0.4599,0.0071,0.0420,0.5034,1.9800,196.2003
21,31,0.4657,0.0030,0.0211,0.3810,1.5953,126.6327
22,29,0.4559,0.0030,0.0227,0.3156,1.5360,114.5048
23,29,0.4888,0.0024,0.0125,0.2807,1.3717,111.8741
24,50,0.4072,0.0092,0.0359,0.4436,2.8780,255.2368
25,44,0.3839,0.0123,0.0683,0.4247,2.4095,209.1036
26,10,0.5164,0.0004,0.0015,0.1739,0.8272,32.9058
27,30,0.4539,0.0042,0.0332,0.4262,1.5883,115.6622
28,29,0.4712,0.0015,0.0111,0.3162,1.4535,112.6436
29,17,0.4460,0.0017,0.0129,0.2705,0.9985,58.3506
