Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,52,0.4718,0.0128,0.0612,0.6078,0.6816,266.8929
1,32,0.5098,0.0009,0.0049,0.2513,0.2737,111.4595
2,33,0.4854,0.0034,0.0486,0.3265,0.3239,126.7954
3,48,0.4287,0.0032,0.0421,0.3227,0.5771,222.8694
4,25,0.4425,0.0040,0.0320,0.3603,0.2193,89.7655
5,50,0.4490,0.0069,0.0397,0.5241,0.6972,244.9902
6,29,0.5045,0.0008,0.0046,0.3606,0.2196,100.6715
7,40,0.4370,0.0180,0.1694,0.4224,0.5751,195.8379
8,19,0.4713,0.0004,0.0020,0.1588,0.1303,55.9168
9,48,0.4393,0.0152,0.0761,0.3758,0.6531,240.8069
10,47,0.4439,0.0124,0.0455,0.5799,0.5488,221.5821
11,22,0.5035,0.0007,0.0026,0.2854,0.1222,70.1598
12,35,0.4325,0.0068,0.0503,0.4171,0.3835,140.3744
13,44,0.4175,0.0114,0.0536,0.5337,0.5117,190.9953
14,26,0.4848,0.0007,0.0036,0.2386,0.2301,84.5742
15,8,0.4878,0.0006,0.0015,0.1632,0.0308,23.9230
16,31,0.4950,0.0034,0.0341,0.3744,0.3154,114.8102
17,43,0.4917,0.0048,0.0388,0.4060,0.5158,184.8937
18,26,0.4530,0.0058,0.0322,0.4417,0.2780,92.6887
19,29,0.4329,0.0020,0.0170,0.5086,0.2245,102.8520
20,38,0.4869,0.0045,0.0320,0.4594,0.3859,164.9085
21,35,0.4700,0.0046,0.0189,0.4283,0.3192,135.5443
22,28,0.4507,0.0039,0.0318,0.3061,0.2283,95.6200
23,38,0.4913,0.0084,0.0491,0.3388,0.3474,159.1769
24,53,0.4144,0.0172,0.0599,0.4845,0.7903,267.8852
25,49,0.4458,0.0116,0.0490,0.4855,0.6457,226.9447
26,37,0.4722,0.0066,0.0486,0.5866,0.2965,145.7193
27,38,0.4753,0.0092,0.0356,0.5304,0.4935,170.2186
28,54,0.4475,0.0152,0.0503,0.5916,0.7122,307.9646
29,11,0.4532,0.0007,0.0027,0.2050,0.0514,31.6985
