Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,32,0.394,0.005,0.027,0.947,23.529,185.273
1,38,0.312,0.011,0.056,0.950,29.676,251.789
2,44,0.294,0.024,0.072,0.919,25.829,291.753
3,25,0.228,0.006,0.019,0.982,14.336,151.725
4,49,0.370,0.010,0.056,0.940,34.251,311.988
5,24,0.255,0.006,0.037,0.972,13.713,115.957
6,24,0.405,0.002,0.031,0.950,11.357,101.551
7,33,0.383,0.003,0.020,0.951,21.850,181.134
8,34,0.323,0.005,0.023,0.948,33.268,209.565
9,47,0.348,0.011,0.055,0.941,37.796,304.029
10,18,0.407,0.004,0.037,0.967,5.705,76.072
11,28,0.302,0.015,0.073,0.936,21.508,150.312
12,33,0.291,0.008,0.039,0.932,25.719,188.590
13,49,0.359,0.015,0.044,0.943,41.305,324.553
14,49,0.320,0.036,0.096,0.949,52.137,389.674
15,26,0.350,0.008,0.043,0.961,10.371,125.222
16,35,0.192,0.018,0.064,0.975,26.790,240.028
17,32,0.377,0.002,0.010,0.962,21.181,166.080
18,25,0.319,0.003,0.014,0.960,15.283,122.615
19,24,0.404,0.004,0.046,0.942,13.665,104.967
20,46,0.218,0.025,0.104,0.937,38.950,341.953
21,38,0.297,0.003,0.028,0.960,24.667,198.822
22,36,0.312,0.004,0.034,0.939,22.745,194.280
23,36,0.400,0.003,0.027,0.943,19.255,179.786
24,34,0.385,0.011,0.096,0.936,27.443,192.550
25,10,0.520,0.000,0.001,0.980,2.339,37.766
26,20,0.435,0.001,0.005,0.962,8.747,75.451
27,40,0.322,0.003,0.030,0.954,24.297,206.911
28,35,0.418,0.006,0.072,0.938,21.926,194.535
29,37,0.260,0.010,0.033,0.972,23.782,262.683
