Data,Feasible Num,Space Utilization,Planning Time,All time
0,49,0.5718216402777778,0.30979418754577637,114.6091
1,58,0.5536892534722223,0.3812832832336426,135.2268
2,43,0.5853407944444444,0.2420485019683838,101.0153
3,62,0.4906606638888889,0.529738187789917,144.1996
4,29,0.4601639069444445,0.12633228302001953,69.3458
5,53,0.5508370527777778,0.36498427391052246,123.6418
6,35,0.5220802722222223,0.18619751930236816,82.9611
7,62,0.6112451499999999,0.4476590156555176,144.3605
8,61,0.5782870527777779,0.46938157081604004,141.8182
9,76,0.5997880479166667,0.7051901817321777,176.4106
10,50,0.6058170361111112,0.2788405418395996,117.1431
11,47,0.5753102756944445,0.22068548202514648,110.0246
12,47,0.5646954430555557,0.2670018672943115,110.1637
13,46,0.5470337541666667,0.2579517364501953,107.8349
14,50,0.5797059291666667,0.31328701972961426,117.0395
15,35,0.5390176680555555,0.14920639991760254,83.0378
16,51,0.5558471847222223,0.2568471431732178,119.1278
17,56,0.5315224847222223,0.4255948066711426,130.6897
18,28,0.5019351625,0.14397668838500977,67.0482
19,30,0.5362745694444445,0.12170600891113281,71.6616
20,44,0.5351754659722221,0.20102238655090332,103.2639
21,45,0.5404228611111112,0.26443052291870117,105.5617
22,54,0.5560762291666669,0.34953999519348145,126.1935
23,51,0.5385910722222222,0.2811000347137451,119.104
24,59,0.5405094395833334,0.39506006240844727,137.7564
25,52,0.5174349527777777,0.2989490032196045,121.6898
26,35,0.5516179284722224,0.1538407802581787,82.9321
27,43,0.5799810423611111,0.19298648834228516,100.9518
28,55,0.6045604104166667,0.3173694610595703,128.2957
29,35,0.5233222958333333,0.16924214363098145,82.8474
