Data,Feasible Num,Space Utilization,Planning Time,All time
0,44,0.5169754381944444,41.74777603149414,146.0034
1,57,0.5406841006944445,61.68357753753662,195.782
2,41,0.5351206416666667,37.6242151260376,134.9013
3,62,0.4906606638888889,67.31278538703918,212.2777
4,25,0.3602730916666667,16.700554370880127,77.6399
5,53,0.5508370527777778,56.05687665939331,180.8052
6,40,0.5866968215277778,32.87431216239929,128.1913
7,60,0.589163886111111,69.89170241355896,210.8372
8,56,0.5132612888888889,62.800129413604736,194.6408
9,76,0.5997880479166667,99.5764262676239,276.6443
10,38,0.5242486006944446,33.385350942611694,123.8562
11,51,0.6364773118055556,52.6546196937561,172.6344
12,47,0.5646954430555557,44.72927236557007,155.784
13,35,0.41973117430555557,29.47233009338379,113.0654
14,48,0.5608742958333334,48.287187576293945,161.9247
15,36,0.5517869805555555,31.206857442855835,116.9745
16,51,0.5558471847222223,53.391319036483765,173.7023
17,56,0.5315224847222223,64.4936113357544,195.7864
18,28,0.5019351625,21.103632926940918,88.9
19,32,0.5686973861111111,24.10398507118225,101.0941
20,43,0.5139094659722221,38.72434854507446,140.5145
21,46,0.5669297361111112,43.931854009628296,152.6175
22,55,0.5736139979166669,58.291964292526245,187.9753
23,51,0.5385910722222222,53.18991994857788,173.207
24,67,0.6066125680555555,81.86846733093262,239.0865
25,54,0.5486940805555556,56.37050008773804,183.4187
26,39,0.6215602840277781,34.18711757659912,129.1427
27,49,0.6412468590277778,48.32558608055115,164.4147
28,54,0.5915552576388889,62.82521867752075,189.581
29,33,0.46187129583333336,28.143604278564453,107.2082
