Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,20,0.4788,0.0072,0.0282,0.6913,0.1309,66.3616
1,10,0.5132,0.0991,0.9812,0.4905,0.0353,30.1905
2,8,0.5389,0.0011,0.0044,0.4228,0.0300,23.7423
3,10,0.4907,0.0013,0.0036,0.5745,0.0405,29.6625
4,8,0.4749,0.0003,0.0007,0.3275,0.0359,23.0334
5,8,0.4955,0.0010,0.0038,0.4855,0.0588,23.8905
6,10,0.4701,0.0027,0.0091,0.5879,0.0605,29.8472
7,12,0.4521,0.0013,0.0042,0.5770,0.0617,36.5270
8,15,0.4816,0.0026,0.0089,0.6457,0.0772,48.0680
9,5,0.4990,0.0003,0.0004,0.2399,0.0180,15.4892
10,9,0.5309,0.0006,0.0030,0.5445,0.0363,26.5885
11,11,0.4914,0.0032,0.0085,0.5615,0.0550,33.7599
12,9,0.4956,0.0008,0.0031,0.4169,0.0419,26.4316
13,6,0.4848,0.0002,0.0006,0.3404,0.0211,18.2906
14,9,0.5050,0.0012,0.0032,0.4903,0.0488,27.2379
15,3,0.5603,0.0003,0.0005,0.2060,0.0100,10.6895
16,7,0.5254,0.0095,0.0526,0.2243,0.0446,22.0510
17,13,0.4759,0.0036,0.0116,0.5426,0.0801,38.9508
18,11,0.5008,0.0018,0.0058,0.5641,0.0426,32.5589
19,8,0.4347,0.0006,0.0014,0.2876,0.0477,23.4605
20,7,0.4660,0.0003,0.0012,0.3772,0.0210,21.4770
21,11,0.4413,0.0020,0.0066,0.5922,0.0440,33.4173
22,9,0.4526,0.0022,0.0062,0.3860,0.0342,27.6736
23,8,0.4868,0.0003,0.0015,0.3191,0.0310,24.7417
24,10,0.4607,0.0042,0.0157,0.5561,0.0444,30.5967
25,7,0.4928,0.0004,0.0014,0.3951,0.0274,21.0198
26,7,0.4886,0.0008,0.0022,0.4020,0.0217,21.1969
27,9,0.4870,0.0008,0.0025,0.3661,0.0413,27.3937
28,8,0.4847,0.0004,0.0009,0.4477,0.0320,23.7754
29,7,0.5125,0.0016,0.0049,0.4252,0.0367,21.2209
