Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,7,0.5354,0.0005,0.0020,0.2748,1.7334,46.7146
1,9,0.4493,0.0050,0.0366,0.3864,1.9338,59.2401
2,8,0.5067,0.0008,0.0034,0.2491,2.2793,52.4781
3,3,0.5755,0.0002,0.0003,0.1577,1.2307,24.6194
4,10,0.4847,0.0004,0.0012,0.4789,1.5880,60.3764
5,8,0.4790,0.0010,0.0036,0.3448,1.5464,50.5177
6,8,0.4845,0.0006,0.0019,0.3824,1.3727,49.0885
7,10,0.4706,0.0005,0.0011,0.3569,1.9423,60.1374
8,14,0.4948,0.0036,0.0437,0.4764,1.9782,85.1124
9,9,0.4527,0.0060,0.0280,0.3854,1.6810,54.7975
10,8,0.4488,0.0054,0.0414,0.4015,1.4606,50.3571
11,7,0.5299,0.0003,0.0006,0.3850,1.3955,43.8870
12,9,0.5129,0.0004,0.0009,0.4207,1.7215,54.6558
13,13,0.4816,0.0016,0.0077,0.4366,1.9956,77.1111
14,10,0.4920,0.0009,0.0049,0.4141,1.5875,60.4982
15,10,0.4598,0.0037,0.0242,0.4682,1.5697,60.6593
16,10,0.4959,0.0009,0.0067,0.4874,1.7072,60.8758
17,11,0.4671,0.0041,0.0420,0.3782,1.7794,64.7392
18,8,0.4699,0.0047,0.0350,0.4214,1.4030,49.0788
19,12,0.5354,0.0003,0.0008,0.4170,1.9311,73.6516
20,8,0.5221,0.0006,0.0018,0.3983,1.6734,48.8680
21,5,0.5029,0.0002,0.0007,0.2168,1.3107,34.1492
22,12,0.4894,0.0009,0.0033,0.4554,1.7345,71.0388
23,12,0.4901,0.0075,0.0418,0.5406,1.9319,73.2832
24,10,0.4518,0.0011,0.0038,0.4616,1.6062,61.0232
25,7,0.4505,0.0045,0.0298,0.3907,1.5322,44.0960
26,10,0.4725,0.0009,0.0038,0.4725,1.5584,61.2785
27,10,0.4846,0.0010,0.0072,0.4342,1.7448,60.5572
28,5,0.5236,0.0002,0.0002,0.1817,1.3143,33.8979
29,9,0.4750,0.0004,0.0009,0.4102,1.6170,54.0798
