Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,11,0.4544,0.0060,0.0200,0.3789,0.8316,38.0633
1,5,0.4440,0.0006,0.0010,0.1927,0.7168,18.7295
2,4,0.4826,0.0002,0.0003,0.1433,0.6793,15.8012
3,4,0.5764,0.0010,0.0013,0.3600,0.6971,16.0042
4,8,0.4442,0.0043,0.0128,0.3275,0.7983,27.9906
5,5,0.4858,0.0005,0.0009,0.2447,0.7222,19.0993
6,4,0.4694,0.0017,0.0033,0.1777,0.6978,16.0842
7,5,0.4354,0.0017,0.0025,0.2493,0.6991,18.7624
8,3,0.4166,0.0004,0.0006,0.0771,0.6675,13.3975
9,4,0.4475,0.0013,0.0028,0.1659,0.6919,16.2389
10,3,0.4919,0.0004,0.0010,0.1304,0.6752,13.5525
11,6,0.4615,0.0007,0.0011,0.2779,0.7407,21.5105
12,5,0.5085,0.0005,0.0010,0.2067,0.7043,18.4013
13,3,0.4912,0.0001,0.0002,0.1670,0.6717,13.5768
14,4,0.4657,0.0009,0.0023,0.2185,0.6976,15.8100
15,5,0.5118,0.0008,0.0018,0.3476,0.7064,18.9848
16,6,0.4725,0.0029,0.0067,0.1894,0.7298,22.1814
17,4,0.4661,0.0008,0.0015,0.1674,0.6916,16.0589
18,5,0.4769,0.0010,0.0020,0.2617,0.7246,18.9755
19,7,0.4396,0.0019,0.0042,0.2038,0.7558,24.3612
20,4,0.4458,0.0004,0.0009,0.1707,0.6923,16.0460
21,4,0.4925,0.0004,0.0011,0.1231,0.7200,16.1257
22,5,0.4657,0.0007,0.0015,0.2078,0.6941,18.4425
23,6,0.4640,0.0026,0.0048,0.2501,0.7501,21.8990
24,2,0.4273,0.0003,0.0004,0.1059,0.6646,11.1035
25,2,0.4382,0.0004,0.0006,0.0728,0.6617,11.2989
26,3,0.4347,0.0006,0.0013,0.1217,0.6854,13.5614
27,8,0.4647,0.0024,0.0063,0.2973,0.7715,27.2081
28,7,0.4747,0.0020,0.0067,0.3734,0.7277,24.4987
29,5,0.5395,0.0013,0.0022,0.2978,0.7097,19.1560
