Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,7,0.4077,0.0197,0.0965,0.2748,0.8835,26.9465
1,12,0.4807,0.0010,0.0030,0.5017,1.4035,43.0383
2,11,0.4774,0.0038,0.0364,0.5028,1.3380,40.1078
3,13,0.4242,0.0065,0.0250,0.6137,1.3414,50.5059
4,12,0.4312,0.0038,0.0380,0.5570,1.3423,45.3545
5,11,0.4341,0.0049,0.0432,0.4885,1.1947,41.2904
6,8,0.3988,0.0068,0.0480,0.3824,0.9237,30.2777
7,11,0.4721,0.0012,0.0033,0.4023,1.3784,40.5517
8,14,0.4377,0.0025,0.0218,0.4764,1.7610,52.4101
9,7,0.4320,0.0092,0.0622,0.3035,0.8829,26.4373
10,12,0.4084,0.0072,0.0568,0.5382,1.4171,45.5361
11,13,0.4381,0.0089,0.0369,0.7201,1.2973,49.5086
12,9,0.5154,0.0005,0.0010,0.4207,1.0827,32.8490
13,13,0.4634,0.0017,0.0053,0.4366,1.6764,49.5970
14,9,0.4901,0.0005,0.0011,0.3766,1.7261,37.0771
15,8,0.4718,0.0005,0.0010,0.3620,1.4934,33.2169
16,12,0.4718,0.0026,0.0101,0.6514,1.6207,51.2793
17,10,0.4483,0.0042,0.0267,0.3311,1.9189,42.5790
18,14,0.4671,0.0072,0.0360,0.6148,2.0866,61.9070
19,14,0.4979,0.0036,0.0155,0.4972,2.7979,61.7626
20,6,0.5261,0.0004,0.0008,0.3038,1.2082,25.7413
21,6,0.5069,0.0006,0.0011,0.2610,1.0145,25.2155
22,9,0.4736,0.0028,0.0196,0.3145,1.7066,37.3661
23,10,0.4414,0.0084,0.0417,0.5087,1.6372,42.8565
24,12,0.4731,0.0053,0.0566,0.5618,1.8823,51.0136
25,7,0.4762,0.0026,0.0163,0.3907,1.4071,29.5522
26,7,0.4328,0.0083,0.0544,0.3415,1.1850,29.5131
27,11,0.4225,0.0079,0.0413,0.4826,2.5492,47.1942
28,12,0.5188,0.0010,0.0044,0.5380,2.3788,49.6947
29,8,0.5190,0.0005,0.0012,0.3716,1.4535,34.4266
