Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,24,0.185,2.896,0.025,0.052,1.000,0.000,0.733,0.066,155.554
1,7,0.385,3.848,0.034,0.111,1.000,0.000,0.682,0.008,56.118
2,6,0.413,3.569,0.053,0.161,1.000,0.000,0.862,0.009,46.038
3,6,0.328,3.150,0.056,0.119,1.000,0.000,0.686,0.006,35.055
4,11,0.123,2.775,0.046,0.141,1.000,0.000,0.661,0.020,81.905
5,10,0.200,3.466,0.070,0.123,1.000,0.000,0.766,0.019,57.725
6,9,0.423,2.817,0.052,0.403,1.000,0.000,0.962,0.015,65.102
7,25,0.211,2.995,0.055,0.131,1.000,2.000,0.751,0.070,189.785
8,11,0.365,2.585,0.090,0.132,6.000,0.000,0.747,0.019,61.082
9,11,0.239,2.686,0.040,0.106,1.000,0.000,0.636,0.022,57.999
10,7,0.350,2.878,0.102,0.420,2.000,1.000,0.811,0.016,62.084
11,4,0.425,3.358,0.034,0.118,1.000,0.000,0.859,0.005,35.424
12,16,0.199,2.866,0.036,0.082,1.000,0.000,0.802,0.035,98.797
13,7,0.379,3.522,0.045,0.089,1.000,0.000,0.875,0.012,55.222
14,8,0.346,3.170,0.041,0.109,1.000,1.000,0.836,0.013,56.425
15,5,0.193,2.769,0.108,0.188,3.000,0.000,0.737,0.008,41.037
16,8,0.177,2.616,0.193,0.374,7.000,0.000,0.716,0.009,56.897
17,6,0.444,3.503,0.028,0.060,1.000,0.000,0.979,0.012,38.410
18,8,0.142,3.414,0.147,0.507,4.000,0.000,0.740,0.015,57.699
19,19,0.122,3.176,0.164,0.657,7.000,1.000,0.616,0.039,137.864
20,8,0.371,3.368,0.367,2.501,2.000,0.000,0.873,0.012,65.463
21,8,0.294,4.136,0.080,0.171,3.000,0.000,0.871,0.017,57.398
22,5,0.352,3.560,0.151,0.271,4.000,0.000,0.755,0.006,42.074
23,12,0.229,2.871,0.053,0.128,1.000,2.000,0.726,0.021,87.021
24,24,0.328,2.965,0.056,0.117,3.000,0.000,0.849,0.094,150.780
25,18,0.221,3.180,0.050,0.116,2.000,0.000,0.626,0.046,108.122
26,19,0.221,3.022,0.041,0.083,1.000,1.000,0.818,0.039,133.707
27,7,0.458,2.995,0.048,0.111,1.000,0.000,0.867,0.017,50.711
28,6,0.186,3.547,0.063,0.111,3.000,0.000,0.699,0.011,47.662
29,10,0.352,3.078,0.126,0.178,8.000,0.000,0.747,0.017,58.235
