Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,16,0.180,2.908,0.040,0.125,1.000,1.000,0.720,0.038,114.141
1,14,0.154,2.853,0.037,0.113,1.000,0.000,0.673,0.028,78.532
2,19,0.265,3.388,0.047,0.231,2.000,0.000,0.834,0.038,133.631
3,12,0.207,2.736,0.059,0.128,5.000,0.000,0.767,0.017,68.110
4,12,0.129,2.738,0.049,0.092,1.000,1.000,0.652,0.022,99.395
5,17,0.203,2.711,0.059,0.129,2.000,0.000,0.707,0.024,102.180
6,21,0.251,2.753,0.019,0.048,0.000,0.000,0.814,0.036,123.061
7,11,0.298,3.062,0.021,0.072,1.000,0.000,0.765,0.020,62.171
8,13,0.377,2.697,0.063,0.124,3.000,0.000,0.775,0.024,72.525
9,16,0.232,2.876,0.062,0.121,2.000,0.000,0.733,0.027,94.015
10,11,0.176,3.023,0.043,0.108,1.000,0.000,0.712,0.016,63.832
11,11,0.212,2.432,0.034,0.108,2.000,0.000,0.768,0.021,57.721
12,16,0.175,2.788,0.043,0.088,1.000,1.000,0.744,0.032,107.941
13,18,0.156,3.892,0.049,0.119,1.000,0.000,0.672,0.046,109.974
14,22,0.289,2.425,0.038,0.116,1.000,1.000,0.790,0.046,140.099
15,12,0.152,2.626,0.027,0.083,1.000,0.000,0.766,0.020,65.621
16,8,0.153,2.846,0.010,0.032,1.000,0.000,0.765,0.010,49.435
17,21,0.212,3.012,0.055,0.136,3.000,0.000,0.741,0.044,131.103
18,12,0.163,2.742,0.010,0.023,1.000,0.000,0.696,0.026,68.305
19,21,0.198,3.146,0.062,0.110,4.000,1.000,0.739,0.043,155.155
20,13,0.221,2.528,0.021,0.064,1.000,1.000,0.762,0.021,101.420
21,21,0.260,2.424,0.064,0.135,1.000,1.000,0.828,0.048,147.969
22,10,0.180,3.087,0.064,0.160,4.000,0.000,0.652,0.014,57.694
23,16,0.276,3.743,0.053,0.075,2.000,0.000,0.869,0.039,93.004
24,13,0.215,2.694,0.030,0.093,1.000,0.000,0.701,0.024,74.594
25,16,0.234,2.644,0.046,0.114,2.000,0.000,0.697,0.031,92.704
26,16,0.171,2.745,0.046,0.111,4.000,1.000,0.723,0.022,112.249
27,26,0.197,2.918,0.045,0.114,1.000,0.000,0.821,0.066,179.960
28,13,0.152,2.828,0.057,0.098,5.000,0.000,0.645,0.018,73.513
29,11,0.304,3.845,0.057,0.144,2.000,0.000,0.740,0.018,69.816
