Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,10,0.143,0.054,0.105,0.745,0.061,47.982
1,6,0.298,0.088,0.179,0.703,0.011,27.858
2,11,0.297,0.065,0.179,0.697,0.025,46.100
3,6,0.256,0.095,0.157,0.685,0.008,28.083
4,15,0.114,0.041,0.121,0.616,0.033,62.599
5,13,0.114,0.042,0.068,0.658,0.023,52.808
6,13,0.312,0.044,0.109,0.823,0.047,54.737
7,20,0.165,0.045,0.085,0.859,0.096,88.447
8,16,0.400,0.042,0.075,0.717,0.049,67.369
9,9,0.158,0.051,0.107,0.652,0.023,39.056
10,8,0.099,0.026,0.064,0.678,0.028,35.278
11,15,0.344,0.072,0.243,0.641,0.032,61.153
12,6,0.293,0.069,0.114,0.814,0.010,27.800
13,8,0.302,0.044,0.107,0.752,0.014,34.252
14,4,0.369,0.044,0.157,0.882,0.007,21.402
15,9,0.330,0.061,0.116,0.717,0.015,37.816
16,9,0.136,0.057,0.085,0.683,0.012,37.699
17,11,0.244,0.031,0.093,0.847,0.026,45.648
18,13,0.211,0.074,0.128,0.708,0.035,52.787
19,7,0.235,0.145,0.418,0.672,0.011,30.996
20,10,0.260,0.097,0.152,0.722,0.018,41.545
21,9,0.295,0.056,0.085,0.843,0.025,38.210
22,7,0.296,0.107,0.168,0.695,0.010,31.090
23,8,0.304,0.052,0.088,0.745,0.018,34.327
24,9,0.215,0.048,0.098,0.687,0.024,38.554
25,9,0.243,0.033,0.055,0.673,0.015,38.090
26,6,0.278,0.020,0.069,0.790,0.011,27.830
27,13,0.181,0.034,0.075,0.727,0.033,53.648
28,6,0.324,0.047,0.071,0.687,0.010,27.599
29,13,0.226,0.057,0.114,0.616,0.025,52.906
