Method,Feasible Num,Static Stability,Offset Mean,Offset Max,Space Utilization,Planning Time,All time
left_bottom,33,0.376137069,0.001192157,0.01246614,0.591264363,0.910647631,165.3957
heightmap_min,5,0.382111524,0.135480648,0.336472237,0.336472237,0.053939581,21.2956
LSAH,25,0.415466054,0.000513986,0.003551887,0.435383872,0.079008579,114.2719
MACS,12,0.336098536,0.001294892,0.005278432,0.223931774,0.05068326,92.8223
RANDOM,3,0.367765755,0.004786398,0.014217965,0.056059353,0.034703732,11.7984
OnlineBPH,18,0.342745155,0.007744326,0.051024359,0.312144159,0.034306765,78.0663
DBL,35,0.375163546,0.004936101,0.039382756,0.635747743,0.979133368,206.6512
BR,28,0.364135627,0.002490926,0.012320202,0.476438088,5.209233046,172.6764
pct,12,0.401789479,0.01926842,0.11380855,0.223931774,0.041510344,71.7808
