Method,Feasible Num,Static Stability,Offset Mean,Offset Max,Space Utilization,Planning Time,All time
left_bottom,20,0.376943317,0.000523188,0.005157521,0.381271448,0.333927155,88.6338
heightmap_min,24,0.379304678,0.004430267,0.014403999,0.589012093,0.403862476,183.7458
LSAH,20,0.396650962,0.000753012,0.007248511,0.381271448,0.066129923,88.2551
MACS,3,0.331188717,0.079732692,0.102294446,0.048802512,0.00888133,13.2464
RANDOM,4,0.357925241,0.000311145,0.000520204,0.067430444,0.039785862,17.3873
OnlineBPH,8,0.353524943,0.004964859,0.010807333,0.099070503,0.009732485,31.8133
DBL,15,0.368695038,0.000147314,0.00061658,0.195453712,0.214790106,61.372
BR,8,0.347450298,0.000794329,0.002472357,0.099070503,0.014317513,34.3196
pct,15,0.33702829,0.042891793,0.360396429,0.195453712,0.059103727,86.0215
