Method,Feasible Num,Static Stability,Offset Mean,Offset Max,Space Utilization,Planning Time,All time
left_bottom,20,0.258376103,0.016291084,0.056336966,0.257308811,0.155546427,89.6815
heightmap_min,10,0.244093771,0.13074193,0.358140995,0.14130816,0.070738316,35.3421
LSAH,28,0.221834385,0.028720537,0.10938085,0.357080078,0.04714179,129.9456
MACS,5,0.176085891,0.024682401,0.037424392,0.076755208,0.016769648,18.1172
RANDOM,6,0.158738832,0.00989952,0.026565043,0.085034433,0.038910151,20.019
OnlineBPH,14,0.208343089,0.02344862,0.055227268,0.181715278,0.017608166,53.398
DBL,15,0.241747945,0.028113997,0.066972643,0.197215278,0.110191345,64.1717
BR,9,0.243963485,0.054241078,0.118451408,0.13090191,0.024403811,31.2231
pct,19,0.279389156,0.014579652,0.054486371,0.250433811,0.098788261,61.3678
