Method,Feasible Num,Space Utilization,Planning Time,All time
left_bottom,39,0.72473198,1.190944672,87.5552
heightmap_min,41,0.77948948,1.155697823,92.0444
LSAH,37,0.67106331,0.144632101,82.0659
MACS,38,0.69844206,0.257035732,84.3717
RANDOM,27,0.458735588,0.742690325,61.0361
OnlineBPH,37,0.67106331,0.102988243,82.2006
DBL,37,0.67106331,1.095422029,83.0561
BR,32,0.563885613,5.658205748,76.7375
pct,44,0.86162573,0.200680971,97.3727
