Method,Feasible Num,Space Utilization,Planning Time,All time
left_bottom,23,0.504685961,0.410507679,51.0077
heightmap_min,24,0.589012093,0.406583786,53.2615
LSAH,23,0.504685961,0.074710369,50.6598
MACS,23,0.504685961,0.180340767,50.8994
RANDOM,19,0.319110954,0.381729603,42.3453
OnlineBPH,23,0.504685961,0.504685961,50.6217
DBL,23,0.504685961,0.402638674,51.0411
BR,21,0.425694191,0.068558693,46.3389
pct,29,0.776810273,0.14501214,63.844
