Method,Feasible Num,Space Utilization,Planning Time,All time
left_bottom,35,0.477565177,0.3126719,76.6955
heightmap_min,15,0.197215278,0.134888649,33.3152
LSAH,35,0.477565177,0.058732271,76.4716
MACS,19,0.250433811,0.146538734,41.9352
RANDOM,15,0.197215278,0.129163504,33.2348
OnlineBPH,44,0.572379557,0.062882662,95.909
DBL,44,0.572379557,0.47977972,96.4302
BR,29,0.367777995,0.085472822,63.5208
pct,48,0.614157624,1.221791267,105.7685
