Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,1,0.322,2.426,0.000,0.000,0.996,0.517,7.941
1,1,0.466,2.445,0.000,0.000,0.966,0.511,8.062
2,4,0.362,2.053,0.095,0.284,0.802,0.696,17.972
3,10,0.420,2.190,0.003,0.009,0.999,1.058,52.047
4,1,0.553,2.440,0.000,0.000,0.961,0.513,7.934
5,1,0.370,2.446,0.000,0.000,0.979,0.510,7.777
6,1,0.553,2.440,0.001,0.001,0.961,0.522,7.979
7,2,0.406,2.310,0.000,0.000,0.936,0.560,11.259
8,1,0.619,2.405,0.001,0.001,0.943,0.524,7.557
9,10,0.368,3.289,0.011,0.028,0.845,1.096,71.403
10,1,0.442,2.500,0.000,0.000,0.970,0.523,7.744
11,2,0.384,2.202,0.280,0.559,0.910,0.567,12.149
12,1,0.449,2.395,0.000,0.000,0.970,0.519,8.123
13,6,0.422,2.019,0.052,0.309,0.920,0.803,25.829
14,1,0.428,2.392,0.000,0.000,0.966,0.524,7.872
15,1,0.481,2.411,0.000,0.000,0.949,0.504,8.138
16,2,0.211,2.297,0.013,0.025,0.725,0.568,13.381
17,1,0.393,2.378,0.000,0.000,0.956,0.512,7.995
18,1,0.345,2.478,0.001,0.001,0.933,0.529,10.823
19,1,0.353,3.595,0.000,0.000,0.963,0.512,7.722
20,2,0.388,2.199,0.223,0.445,0.922,0.576,11.141
21,1,0.421,2.428,0.000,0.000,0.962,0.514,7.952
22,1,0.324,2.476,0.000,0.000,0.940,0.513,7.692
23,2,0.496,2.204,0.094,0.187,0.792,0.566,10.997
24,1,0.481,2.414,0.000,0.000,0.949,0.514,7.941
25,1,0.507,2.535,0.000,0.000,0.981,0.511,8.684
26,1,0.605,2.449,0.000,0.000,0.953,0.510,7.953
27,1,0.399,2.432,0.000,0.000,0.967,0.511,7.989
28,1,0.481,4.080,0.000,0.000,0.949,0.513,7.962
29,1,0.509,2.425,0.002,0.002,0.992,0.514,13.001
