Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,8,0.4489,0.4558,1.2891,0.0878,3.9188,110.2191
1,19,0.4216,0.0134,0.0956,0.1445,12.6071,171.7220
2,9,0.5075,0.0187,0.1046,0.1097,4.5096,134.3939
3,9,0.4167,2.2520,5.0974,0.0691,4.5424,162.9834
4,11,0.4372,0.0274,0.0860,0.1302,5.7678,78.3829
5,9,0.4647,0.0737,0.4121,0.0867,4.9299,43.2833
6,5,0.5060,0.1747,0.8581,0.0383,2.2591,54.2043
7,11,0.4211,0.0101,0.0247,0.1652,5.1519,169.7742
8,18,0.4685,0.0332,0.2402,0.1473,11.5084,194.0281
9,11,0.4791,0.3783,3.4210,0.1469,5.4390,128.9961
10,12,0.4284,0.2686,0.9964,0.1385,6.8933,122.9345
11,10,0.4595,0.1098,0.5858,0.1293,5.0199,132.9740
12,5,0.3748,0.3218,0.8247,0.0635,2.0261,73.2632
13,3,0.5087,0.0017,0.0048,0.0363,1.2930,22.1050
14,10,0.4839,0.2474,0.8500,0.0936,5.4487,110.5880
15,11,0.4287,0.2799,0.8783,0.1879,6.0515,154.7297
16,5,0.4997,0.1551,0.5462,0.0742,2.2465,36.0622
17,7,0.4773,0.2474,0.8719,0.0777,3.7305,61.8108
18,14,0.4839,0.0043,0.0161,0.3018,7.6441,204.2316
19,7,0.4452,0.0154,0.0846,0.0890,3.2965,83.2268
20,13,0.4572,0.4519,1.6522,0.1277,7.0151,177.3856
21,24,0.4664,0.0647,0.6830,0.2725,18.0567,311.6099
22,13,0.4074,0.0223,0.0670,0.1300,8.1473,121.4085
23,5,0.4951,0.4220,0.9036,0.0338,2.2997,44.6300
24,7,0.4348,0.8519,1.5260,0.0733,3.3046,131.6337
25,9,0.4388,0.0324,0.2332,0.0713,4.7594,95.0018
26,6,0.5240,0.0303,0.0972,0.1153,2.7964,44.4767
27,3,0.4838,0.0007,0.0020,0.0362,1.2785,23.3396
28,6,0.3271,0.4679,1.2883,0.0709,2.6639,67.4178
29,6,0.4058,0.9124,3.0585,0.1431,2.5340,62.2749
